Código modular,Código de institución,Nombre de IE,Nivel / Modalidad,Tipo de Gestión,Dependencia,Dirección de IE,Departamento / Provincia / Distrito,Alumnos (Censo educativo),Docentes (Censo educativo),Secciones (Censo educativo),GeoLocation
1344100,24512436.0,GARABATOS KID'S,Inicial - Cuna Jardín,Privada,Particular,AVENIDA MARISCAL CASTILLA 515 MZ S-1 LOTE 07,Arequipa / Islay / Mollendo,75.0,4.0,4.0,"-17.0249,-72.0134"
1344159,24512274.0,MI PEQUEÑO MUNDO,Inicial - Cuna Jardín,Privada,Particular,AVENIDA MARISCAL CASTILLA 1048,Arequipa / Islay / Mollendo,23.0,2.0,2.0,"-17.0201,-72.0131"
1344258,24630404.0,CIENCIAS ITALO PERUANO ENRICO FERMI,Primaria,Privada,Particular,MZ F LOTE 2,Arequipa / Islay / Mollendo,125.0,6.0,6.0,"-17.0281,-72.0100"
1344324,26974801.0,KRONUNG VON MARIA INMACULADA,Inicial - Jardín,Privada,Particular,CARRETERA VIA DE EVITAMIENTO KM 14,Arequipa / Islay / Mollendo,16.0,1.0,3.0,"-17.0251,-72.0118"
1302751,24631079.0,LOS PINOS,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE PRINCIPAL S/N,Arequipa / Islay / Mollendo,71.0,3.0,3.0,"-17.0274,-72.0154"
1336478,24991350.0,LAPLACE MOLLENDO,Secundaria,Privada,Particular,CALLE HUAMACHUCO 223,Arequipa / Islay / Mollendo,184.0,9.0,6.0,"-17.0200,-72.0137"
1355270,24630404.0,CIENCIAS ITALO PERUANO ENRICO FERMI,Inicial - Jardín,Privada,Particular,MZ F LOTE 2,Arequipa / Islay / Mollendo,14.0,3.0,3.0,"-17.0213,-72.0128"
1368489,24365417.0,ABC GREGORIO MENDEL,Inicial - Jardín,Privada,Particular,AVENIDA MARISCAL CASTILLA 468,Arequipa / Islay / Mollendo,22.0,3.0,3.0,"-17.0246,-72.0108"
1436435,24365417.0,ABC GREGORIO MENDEL,Primaria,Privada,Particular,AVENIDA MARISCAL CASTILLA 468,Arequipa / Islay / Mollendo,44.0,6.0,6.0,"-17.0257,-72.0120"
1518554,26267943.0,CIENCIAS APLICADAS SIR ISAAC NEWTON,Secundaria,Privada,Particular,CALLE AURELIO LA FUENTE 102,Arequipa / Islay / Mollendo,146.0,10.0,8.0,"-17.0218,-72.0142"
1475401,,MIS PRIMEROS PASOS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVENIDA 7 DE JUNIO S/N MZ D LOTE 63,Arequipa / Islay / Mollendo,9.0,0.0,2.0,"-17.0196,-72.0157"
1475402,,RAYITOS DE SOL,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVENIDA ESPINAR S/N,Arequipa / Islay / Mollendo,14.0,0.0,1.0,"-17.0187,-72.0115"
1475404,,MI PEQUEÑO MUNDO,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,MZ S LOTE 1,Arequipa / Islay / Mollendo,7.0,0.0,2.0,"-17.0192,-72.0186"
