codigo_modular,codigo_de_institucion,nombre_de_ie,nivel_modalidad,tipo_de_gestion,dependencia,direccion_de_ie,alumnos,docentes,secciones,geolocation,departamento,provincia,distrito
1188200,26784727.0,SAN VICENTE DE PAUL,Primaria,Privada,Comunidad o asociación religiosa,CALLE COMERCIO 1014,341.0,15.0,12.0,"-17.0198,-72.0158",Arequipa,Islay,Mollendo
1203561,22307878.0,40681 FRAY MARTIN,Primaria,Pública de gestión directa,Sector Educación,CALLE AVIS BELLAVISTA S/N,174.0,7.0,6.0,"-17.0271,-72.0134",Arequipa,Islay,Mollendo
1239243,24630404.0,CIENCIAS ITALO PERUANO ENRICO FERMI,Secundaria,Privada,Particular,MZ F LOTE 2,131.0,8.0,6.0,"-17.0232,-72.0112",Arequipa,Islay,Mollendo
1344100,24512436.0,GARABATOS KID'S,Inicial - Cuna Jardín,Privada,Particular,AVENIDA MARISCAL CASTILLA 515 MZ S-1 LOTE 07,75.0,4.0,4.0,"-17.0249,-72.0134",Arequipa,Islay,Mollendo
1344159,24512274.0,MI PEQUEÑO MUNDO,Inicial - Cuna Jardín,Privada,Particular,AVENIDA MARISCAL CASTILLA 1048,23.0,2.0,2.0,"-17.0201,-72.0131",Arequipa,Islay,Mollendo
1344258,24630404.0,CIENCIAS ITALO PERUANO ENRICO FERMI,Primaria,Privada,Particular,MZ F LOTE 2,125.0,6.0,6.0,"-17.0281,-72.0100",Arequipa,Islay,Mollendo
1344324,26974801.0,KRONUNG VON MARIA INMACULADA,Inicial - Jardín,Privada,Particular,CARRETERA VIA DE EVITAMIENTO KM 14,16.0,1.0,3.0,"-17.0251,-72.0118",Arequipa,Islay,Mollendo
1302751,24631079.0,LOS PINOS,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE PRINCIPAL S/N,71.0,3.0,3.0,"-17.0274,-72.0154",Arequipa,Islay,Mollendo
1336478,24991350.0,LAPLACE MOLLENDO,Secundaria,Privada,Particular,CALLE HUAMACHUCO 223,184.0,9.0,6.0,"-17.0200,-72.0137",Arequipa,Islay,Mollendo
1355270,24630404.0,CIENCIAS ITALO PERUANO ENRICO FERMI,Inicial - Jardín,Privada,Particular,MZ F LOTE 2,14.0,3.0,3.0,"-17.0213,-72.0128",Arequipa,Islay,Mollendo
1368489,24365417.0,ABC GREGORIO MENDEL,Inicial - Jardín,Privada,Particular,AVENIDA MARISCAL CASTILLA 468,22.0,3.0,3.0,"-17.0246,-72.0108",Arequipa,Islay,Mollendo
1436435,24365417.0,ABC GREGORIO MENDEL,Primaria,Privada,Particular,AVENIDA MARISCAL CASTILLA 468,44.0,6.0,6.0,"-17.0257,-72.0120",Arequipa,Islay,Mollendo
1518554,26267943.0,CIENCIAS APLICADAS SIR ISAAC NEWTON,Secundaria,Privada,Particular,CALLE AURELIO LA FUENTE 102,146.0,10.0,8.0,"-17.0218,-72.0142",Arequipa,Islay,Mollendo
1475401,,MIS PRIMEROS PASOS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVENIDA 7 DE JUNIO S/N MZ D LOTE 63,9.0,0.0,2.0,"-17.0196,-72.0157",Arequipa,Islay,Mollendo
1475402,,RAYITOS DE SOL,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVENIDA ESPINAR S/N,14.0,0.0,1.0,"-17.0187,-72.0115",Arequipa,Islay,Mollendo
1475404,,MI PEQUEÑO MUNDO,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,MZ S LOTE 1,7.0,0.0,2.0,"-17.0192,-72.0186",Arequipa,Islay,Mollendo
1475406,,ESTRELLITA DE BELEN,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AUTOPISTA VIA DE EVITAMIENTO MOLLENDO - MEJIA,7.0,0.0,2.0,"-17.0231,-72.0151",Arequipa,Islay,Mollendo
1621085,22404067.0,40492 DANIEL ALCIDES CARRION,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE SAN MARTIN 100,82.0,3.0,3.0,"-17.0245,-72.0135",Arequipa,Islay,Mollendo
1629666,24511936.0,REYES AZULES,Inicial - Jardín,Privada,Particular,UPIS MIRAMAR MZ Y LOTE 8,69.0,4.0,4.0,"-17.0262,-72.0126",Arequipa,Islay,Mollendo
55104,,CAPULLITOS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE SAN MARTIN 100,10.0,0.0,2.0,"-17.0277,-72.0146",Arequipa,Islay,Mollendo
55102,,VIRGEN DE FATIMA,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVIS LOS PINOS MZ K,8.0,0.0,2.0,"-17.0242,-72.0140",Arequipa,Islay,Mollendo
1658186,24991350.0,LAPLACE MOLLENDO,Primaria,Privada,Particular,CALLE HUAMACHUCO 223,144.0,6.0,7.0,"-17.0239,-72.0115",Arequipa,Islay,Mollendo
1662360,26267943.0,CIENCIAS APLICADAS SIR ISAAC NEWTON,Primaria,Privada,Particular,CALLE AURELIO LA FUENTE 102,246.0,13.0,10.0,"-17.0260,-72.0161",Arequipa,Islay,Mollendo
1672948,24511774.0,SEMILLITAS DE AMOR,Inicial - Cuna Jardín,Privada,Particular,AVENIDA AMANCAES 802,47.0,4.0,4.0,"-17.0272,-72.0103",Arequipa,Islay,Mollendo
1712512,24580407.0,40476 MERCEDES MANRIQUE FUENTES,Inicial - Jardín,Pública de gestión directa,Sector Educación,MZ F-G,61.0,3.0,3.0,"-17.0225,-72.0196",Arequipa,Islay,Mollendo
1712520,24991431.0,41050 DIVINO MAESTRO,Inicial - Jardín,Pública de gestión directa,Sector Educación,AVENIDA 30 DE AGOSTO S/N,45.0,3.0,3.0,"-17.0277,-72.0174",Arequipa,Islay,Mollendo
3869325,,NIÑO DE DIOS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,MZ D LOTE 8,18.0,0.0,2.0,"-17.0265,-72.0188",Arequipa,Islay,Mollendo
3869326,,HOGAR DEL BEBE,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,MZ D,9.0,0.0,2.0,"-17.0227,-72.0127",Arequipa,Islay,Mollendo
1735364,23532174.0,MOLLENDO,Básica Especial - Inicial,Pública de gestión directa,Sector Educación,CALLE PUNO 710,19.0,4.0,4.0,"-17.0235,-72.0136",Arequipa,Islay,Mollendo
1764380,24365417.0,ABC GREGORIO MENDEL,Secundaria,Privada,Particular,AVENIDA MARISCAL CASTILLA 468,34.0,10.0,5.0,"-17.0212,-72.0120",Arequipa,Islay,Mollendo
1764851,24377962.0,SAN SILVESTRE,Inicial - Cuna Jardín,Privada,Particular,MZ K LOTE 7,16.0,3.0,4.0,"-17.0216,-72.0173",Arequipa,Islay,Mollendo
3952014,,SANTA ROSA,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,MZ E LOTE 2,8.0,0.0,2.0,"-17.0262,-72.0167",Arequipa,Islay,Mollendo
1773282,24631151.0,MARIA AUXILIADORA,Inicial - Jardín,Privada,Particular,AVENIDA MARISCAL CASTILLA 204,6.0,1.0,3.0,"-17.0199,-72.0156",Arequipa,Islay,Mollendo
3981687,,DESTELLOS DE LUZ,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE FRANCISCO BOLOGNESI 505,12.0,0.0,2.0,"-17.0212,-72.0134",Arequipa,Islay,Mollendo
3026481,25635183.0,KINDERLAND MOLLENDO,Inicial - Cuna Jardín,Privada,Particular,CALLE IQUITOS 385 MZ B LOTE 2,27.0,3.0,4.0,"-17.0249,-72.0195",Arequipa,Islay,Mollendo
3042207,26167957.0,MONTESSORI MOLLENDO COLLEGE,Inicial - Jardín,Privada,Particular,AVENIDA 16 S/N MZ LL LOTE 8-9,5.0,3.0,2.0,"-17.0281,-72.0192",Arequipa,Islay,Mollendo
4001195,,MI PEQUEÑO JOSE,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE COLOMBIA S/N,11.0,0.0,2.0,"-17.0204,-72.0190",Arequipa,Islay,Mollendo
4006705,,LUZ DE ESPERANZA,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVENIDA 30 DE AGOSTO S/N,9.0,0.0,2.0,"-17.0231,-72.0194",Arequipa,Islay,Mollendo
